11763,Nejanilini Lake Airport,Nejanilini Lake,Canada,\N,CYNN,59.48749924,-97.78029633,1000,\N,\N,\N,airport,OurAirports
11764,Owen Sound / Billy Bishop Regional Airport,Owen Sound,Canada,YOS,CYOS,44.59030151,-80.83750153,1007,\N,\N,\N,airport,OurAirports
11765,Port Hawkesbury Airport,Port Hawkesbury,Canada,YPS,CYPD,45.65670013,-61.36809921,377,\N,\N,\N,airport,OurAirports
11766,St Thomas Municipal Airport,St Thomas,Canada,YQS,CYQS,42.77000046,-81.1108017,778,\N,\N,\N,airport,OurAirports
11767,Ottawa / Rockcliffe Airport,Ottawa,Canada,YRO,CYRO,45.46030045,-75.64610291,188,\N,\N,\N,airport,OurAirports
11768,Ottawa / Carp Airport,Ottawa,Canada,\N,CYRP,45.31919861,-76.02220154,382,\N,\N,\N,airport,OurAirports
11769,Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls,Canada,YSH,CYSH,44.94580078,-75.94059753,416,\N,\N,\N,airport,OurAirports
11770,St Leonard Airport,St Leonard,Canada,YSL,CYSL,47.15750122,-67.83470154,793,\N,\N,\N,airport,OurAirports
11771,Virden/R.J. (Bob) Andrew Field Regional Aerodrome,Virden,Canada,\N,CYVD,49.87829971,-100.9179993,1454,\N,\N,\N,airport,OurAirports
11772,Vernon Airport,Vernon,Canada,YVE,CYVK,50.24810028,-119.3310013,1140,\N,\N,\N,airport,OurAirports
11773,Beaver Creek Airport,Beaver Creek,Canada,YXQ,CYXQ,62.41030121,-140.8670044,2131,\N,\N,\N,airport,OurAirports
11774,Shuswap Regional Airport,Salmon Arm,Canada,YSN,CZAM,50.682802,-119.228996,1751,\N,\N,\N,airport,OurAirports
11775,Kelsey Airport,Kelsey,Canada,KES,CZEE,56.03749847,-96.50969696,600,\N,\N,\N,airport,OurAirports
11776,Pukatawagan Airport,Pukatawagan,Canada,XPK,CZFG,55.74919891,-101.2659988,958,\N,\N,\N,airport,OurAirports
11777,Grand Forks Airport,Grand Forks,Canada,ZGF,CZGF,49.0155983,-118.4309998,1720,\N,\N,\N,airport,OurAirports
11778,Jenpeg Airport,Jenpeg,Canada,ZJG,CZJG,54.51890182,-98.0460968,729,\N,\N,\N,airport,OurAirports
11779,Thicket Portage Airport,Thicket Portage,Canada,YTD,CZLQ,55.31890106,-97.70780182,678,\N,\N,\N,airport,OurAirports
11780,Pikwitonei Airport,Pikwitonei,Canada,PIW,CZMN,55.58890152,-97.16419983,630,\N,\N,\N,airport,OurAirports
11781,Poplar River Airport,Poplar River,Canada,XPP,CZNG,52.99652588,-97.27419376,728,\N,\N,\N,airport,OurAirports
11782,Pincher Creek Airport,Pincher Creek,Canada,WPC,CZPC,49.52059937,-113.9970016,3903,\N,\N,\N,airport,OurAirports
11783,Stewart Airport,Stewart,Canada,ZST,CZST,55.93541045,-129.9824345,24,\N,\N,\N,airport,OurAirports
11784,Ignace Municipal Airport,Ignace,Canada,ZUC,CZUC,49.42969894,-91.71779633,1435,\N,\N,\N,airport,OurAirports
11785,Neubrandenburg Airport,Neubrandenburg,Germany,FNB,EDBN,53.6022,13.306,228,\N,\N,\N,airport,OurAirports
11786,Airport Bamberg-Breitenau,Bamberg,Germany,\N,EDQA,49.920403,10.914233,811,\N,\N,\N,airport,OurAirports
11787,Zerbst Airport,Zerbst/Anhalt,Germany,\N,EDUZ,52.000832,12.148611,289,\N,\N,\N,airport,OurAirports
11788,RAF Spadeadam,Spadeadam,United Kingdom,\N,EGOM,55.04999924,-2.549999952,1066,\N,\N,\N,airport,OurAirports
11789,RAF Kinloss,Kinloss,United Kingdom,FSS,EGQK,57.6493988,-3.560640097,22,\N,\N,\N,airport,OurAirports
11790,BiaÅ‚a Podlaska Airfield,BiaÅ‚a Podlaska,Poland,BXP,EPBP,52.00078,23.1325278,485,\N,\N,\N,airport,OurAirports
11791,Cewice Air Base,LÄ™bork,Poland,\N,EPCE,54.416,17.7633,495,\N,\N,\N,airport,OurAirports
11792,Deblin Military Air Base,DÄ™blin,Poland,\N,EPDE,51.55139923,21.89360046,392,\N,\N,\N,airport,OurAirports
11793,Leczyca Military Air Base,Leczyca,Poland,\N,EPLY,52.00469971,19.14559937,377,\N,\N,\N,airport,OurAirports
11794,Minsk Mazowiecki Military Air Base,,Poland,\N,EPMM,52.19549942,21.65589905,604,\N,\N,\N,airport,OurAirports
11795,Powidz Military Air Base,,Poland,\N,EPPW,52.379398,17.853901,371,\N,\N,\N,airport,OurAirports
11796,Tomaszow Mazowiecki Military Air Base,TomaszÃ³w Mazowiecki,Poland,\N,EPTM,51.58440018,20.0977993,571,\N,\N,\N,airport,OurAirports
11797,BjÃ¶rkvik Air Base,BjÃ¶rkvik,Sweden,\N,ESKX,58.79079819,16.57119942,0,\N,\N,\N,airport,OurAirports
11798,Ljungbyhed Airport,Ljungbyhed,Sweden,\N,ESTL,56.08280182,13.21249962,140,\N,\N,\N,airport,OurAirports
11799,Daugavpils Intrenational Airport,Daugavpils,Latvia,DGP,EVDA,55.94472122,26.66500092,398,\N,\N,\N,airport,OurAirports
11800,JÄ“kabpils Air Base,JÄ“kabpils,Latvia,\N,EVKA,56.534698,25.8925,289,\N,\N,\N,airport,OurAirports
11801,JÅ«rmala Airport,Tukums,Latvia,\N,EVTA,56.9422,23.2239,220,\N,\N,\N,airport,OurAirports
11802,KÄ—dainiai Air Base,KÄ—dainiai,Lithuania,\N,EYKD,55.31169891,23.95639992,171,\N,\N,\N,airport,OurAirports
11803,Lime Acres Finsch Mine Airport,Lime Acres,South Africa,LMR,FALC,-28.36009979,23.43910027,4900,\N,\N,\N,airport,OurAirports
11804,Sua Pan Airport,Sowa,Botswana,SXN,FBSN,-20.5534,26.115801,2985,\N,\N,\N,airport,OurAirports
11805,Lusaka City Airport,Lusaka,Zambia,\N,FLLC,-15.41380024,28.33069992,4200,\N,\N,\N,airport,OurAirports
11806,Sumbe Airport,Sumbe,Angola,NDD,FNSU,-11.16790009,13.84749985,36,\N,\N,\N,airport,OurAirports
11807,Mangochi Airport,Mangochi,Malawi,MAI,FWMG,-14.4829998,35.26699829,1580,\N,\N,\N,airport,OurAirports
11808,Arandis Airport,Arandis,Namibia,ADI,FYAR,-22.46220016,14.97999954,1905,\N,\N,\N,airport,OurAirports
11809,Mariental Airport,Mariental,Namibia,\N,FYML,-24.60540009,17.92539978,3650,\N,\N,\N,airport,OurAirports
11810,Almaza Air Force Base,Cairo,Egypt,\N,HEAZ,30.09180069,31.36000061,300,\N,\N,\N,airport,OurAirports
11811,Beni Suef Air Base,Beni Suef,Egypt,\N,HEBS,29.20829964,31.01659966,108,\N,\N,\N,airport,OurAirports
11812,Jiyanklis Air Base,Jiyanklis,Egypt,\N,HEGS,30.81979942,30.19120026,49,\N,\N,\N,airport,OurAirports
11813,Merowe New Airport,Merowe,Sudan,MWE,HSMN,18.44333333,31.84333333,897,\N,\N,\N,airport,OurAirports
11814,St Louis Regional Airport,Alton/St Louis,United States,ALN,KALN,38.89030075,-90.04599762,544,\N,\N,\N,airport,OurAirports
11815,Chandler Field,Alexandria,United States,AXN,KAXN,45.86629868,-95.3946991,1425,\N,\N,\N,airport,OurAirports
11816,Columbus Municipal Airport,Columbus,United States,CLU,KBAK,39.26190186,-85.89630127,656,\N,\N,\N,airport,OurAirports
11817,Curtis Field,Brady,United States,BBD,KBBD,31.17930031,-99.32389832,1827,\N,\N,\N,airport,OurAirports
11818,Eastern Sierra Regional Airport,Bishop,United States,BIH,KBIH,37.37310028,-118.3639984,4124,\N,\N,\N,airport,OurAirports
11819,Baker City Municipal Airport,Baker City,United States,BKE,KBKE,44.83729935,-117.8089981,3373,\N,\N,\N,airport,OurAirports
11820,Miley Memorial Field,Big Piney,United States,BPI,KBPI,42.58509827,-110.1110001,6990,\N,\N,\N,airport,OurAirports
11821,Ozark Regional Airport,Mountain Home,United States,WMH,KBPK,36.3689003,-92.47049713,928,\N,\N,\N,airport,OurAirports
11822,W K Kellogg Airport,Battle Creek,United States,BTL,KBTL,42.30730057,-85.25150299,952,\N,\N,\N,airport,OurAirports
11823,Burley Municipal Airport,Burley,United States,BYI,KBYI,42.54259872,-113.7720032,4150,\N,\N,\N,airport,OurAirports
11824,Northeast Iowa Regional Airport,Charles City,United States,CCY,KCCY,43.07260132,-92.6108017,1125,\N,\N,\N,airport,OurAirports
11825,Chanute Martin Johnson Airport,Chanute,United States,CNU,KCNU,37.66880035,-95.48509979,1002,\N,\N,\N,airport,OurAirports
11826,Jacksonville Executive at Craig Airport,Jacksonville,United States,CRG,KCRG,30.3362999,-81.51439667,41,\N,\N,\N,airport,OurAirports
11827,Crossville Memorial Whitson Field,Crossville,United States,CSV,KCSV,35.95130157,-85.08499908,1881,\N,\N,\N,airport,OurAirports
11828,Davison Army Air Field,Fort Belvoir,United States,DAA,KDAA,38.71500015,-77.18099976,73,\N,\N,\N,airport,OurAirports
11829,Barstow Daggett Airport,Daggett,United States,DAG,KDAG,34.85369873,-116.7870026,1930,\N,\N,\N,airport,OurAirports
11830,Deming Municipal Airport,Deming,United States,DMN,KDMN,32.26229858,-107.7210007,4314,\N,\N,\N,airport,OurAirports
11831,Desert Rock Airport,Mercury,United States,DRA,KDRA,36.6194,-116.032997,3314,\N,\N,\N,airport,OurAirports
11832,Needles Airport,Needles,United States,EED,KEED,34.7663002,-114.6230011,983,\N,\N,\N,airport,OurAirports
11833,Duke Field,Crestview,United States,EGI,KEGI,30.65040016,-86.52290344,191,\N,\N,\N,airport,OurAirports
11834,Murray Field,Eureka,United States,EKA,KEKA,40.80339813,-124.112999,7,\N,\N,\N,airport,OurAirports
11835,San Marcos Regional Airport,San Marcos,United States,\N,KHYI,29.8927,-97.862999,597,\N,\N,\N,airport,OurAirports
11836,Sawyer County Airport,Hayward,United States,HYR,KHYR,46.02519989,-91.44429779,1216,\N,\N,\N,airport,OurAirports
11837,Kimble County Airport,Junction,United States,JCT,KJCT,30.51129913,-99.7634964,1749,\N,\N,\N,airport,OurAirports
11838,Monticello Municipal Ellis Field,Monticello,United States,\N,KLLQ,33.6385994,-91.75099945,270,\N,\N,\N,airport,OurAirports
11839,Derby Field,Lovelock,United States,LOL,KLOL,40.06639862,-118.5650024,3904,\N,\N,\N,airport,OurAirports
11840,Mobridge Municipal Airport,Mobridge,United States,MBG,KMBG,45.54650116,-100.4079971,1716,\N,\N,\N,airport,OurAirports
11841,Mc Comb/Pike County Airport/John E Lewis Field,Mc Comb,United States,MCB,KMCB,31.17849922,-90.47190094,413,\N,\N,\N,airport,OurAirports
11842,Southern Illinois Airport,Carbondale/Murphysboro,United States,MDH,KMDH,37.77809906,-89.2519989,411,\N,\N,\N,airport,OurAirports
11843,Mc Entire Joint National Guard Base,Eastover,United States,MMT,KMMT,33.92079926,-80.80130005,254,\N,\N,\N,airport,OurAirports
11844,Brunswick Executive Airport,Brunswick,United States,NHZ,KNHZ,43.89220047,-69.93859863,72,\N,\N,\N,airport,OurAirports
11845,Naval Station Mayport (Admiral David L. Mcdonald Field),Mayport,United States,NRB,KNRB,30.39109993,-81.42469788,15,\N,\N,\N,airport,OurAirports
11846,Orangeburg Municipal Airport,Orangeburg,United States,OGB,KOGB,33.45679855,-80.85949707,195,\N,\N,\N,airport,OurAirports
11847,Columbus Municipal Airport,Columbus,United States,\N,KOLU,41.44800186,-97.34259796,1447,\N,\N,\N,airport,OurAirports
11848,Ottumwa Regional Airport,Ottumwa,United States,OTM,KOTM,41.10660172,-92.44789886,845,\N,\N,\N,airport,OurAirports
11849,Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark,United States,OZR,KOZR,31.27569962,-85.71340179,301,\N,\N,\N,airport,OurAirports
11850,Ralph Wenz Field,Pinedale,United States,PWY,KPNA,42.79550171,-109.8069992,7102,\N,\N,\N,airport,OurAirports
11851,Dutchess County Airport,Poughkeepsie,United States,POU,KPOU,41.62659836,-73.88420105,165,\N,\N,\N,airport,OurAirports
11852,New Richmond Regional Airport,New Richmond,United States,\N,KRNH,45.14830017,-92.5381012,998,\N,\N,\N,airport,OurAirports
11853,Russell Municipal Airport,Russell,United States,RSL,KRSL,38.87210083,-98.8117981,1862,\N,\N,\N,airport,OurAirports
11854,Redwood Falls Municipal Airport,Redwood Falls,United States,RWF,KRWF,44.54719925,-95.08229828,1024,\N,\N,\N,airport,OurAirports
11855,Salinas Municipal Airport,Salinas,United States,SNS,KSNS,36.66279984,-121.6060028,85,\N,\N,\N,airport,OurAirports
11856,Sonora Municipal Airport,Sonora,United States,\N,KSOA,30.58569908,-100.6490021,2140,\N,\N,\N,airport,OurAirports
11857,Saline County Regional Airport,Benton,United States,\N,KSUZ,34.59059906,-92.47940063,390,\N,\N,\N,airport,OurAirports
11858,Tonopah Airport,Tonopah,United States,TPH,KTPH,38.06019974,-117.086998,5430,\N,\N,\N,airport,OurAirports
11859,Aurora State Airport,Aurora,United States,\N,KUAO,45.24710083,-122.7699966,200,\N,\N,\N,airport,OurAirports
11860,Ukiah Municipal Airport,Ukiah,United States,UKI,KUKI,39.12599945,-123.2009964,614,\N,\N,\N,airport,OurAirports
11861,University Oxford Airport,Oxford,United States,UOX,KUOX,34.38430023,-89.53679657,452,\N,\N,\N,airport,OurAirports
11862,Huntsville Regional Airport,Huntsville,United States,HTV,KUTS,30.74690056,-95.58719635,363,\N,\N,\N,airport,OurAirports
11863,Miller Field,Valentine,United States,VTN,KVTN,42.85779953,-100.5479965,2596,\N,\N,\N,airport,OurAirports
11864,Winnemucca Municipal Airport,Winnemucca,United States,WMC,KWMC,40.89659882,-117.8059998,4308,\N,\N,\N,airport,OurAirports
11865,West Woodward Airport,Woodward,United States,WWR,KWWR,36.438,-99.5226667,2189,\N,\N,\N,airport,OurAirports
11866,Cape Canaveral AFS Skid Strip,Cocoa Beach,United States,\N,KXMR,28.46759987,-80.56659698,10,\N,\N,\N,airport,OurAirports
11867,Homey (Area 51) Airport,Groom Lake,United States,\N,KXTA,37.23500061,-115.810997,4462,\N,\N,\N,airport,OurAirports
11868,Zanesville Municipal Airport,Zanesville,United States,ZZV,KZZV,39.94440079,-81.89209747,900,\N,\N,\N,airport,OurAirports
11869,GjadÃ«r Air Base,GjadÃ«r,Albania,\N,LAGJ,41.895199,19.5987,23,\N,\N,\N,airport,OurAirports
11870,KukÃ«s Airport,KukÃ«s,Albania,\N,LAKU,42.03369904,20.41589928,1120,\N,\N,\N,airport,OurAirports
11871,KuÃ§ovÃ« Air Base,KuÃ§ovÃ«,Albania,\N,LAKV,40.77190018,19.90189934,135,\N,\N,\N,airport,OurAirports
11872,VlorÃ« Air Base,VlorÃ«,Albania,\N,LAVL,40.47610092,19.4741993,3,\N,\N,\N,airport,OurAirports
11873,Haskovo Malevo Airport,Haskovo,Bulgaria,\N,LBHS,41.976398,25.5898,160,\N,\N,\N,airport,OurAirports
11874,Gabrovnitsa Air Base,Gabrovnitsa,Bulgaria,\N,LBMG,43.54430008,23.27249908,626,\N,\N,\N,airport,OurAirports
11875,Graf Ignatievo Air Base,Graf Ignatievo,Bulgaria,\N,LBPG,42.29040146,24.7140007,190,\N,\N,\N,airport,OurAirports
