airline,airline_id,src_airport,src_airport_id,dest_airport,dest_airport_id,codeshare,stops,equipment
DH,10128,CKY,4162,DKR,1084,,0,AT7
DH,10128,COO,245,BKO,1044,,0,AT7
DH,10128,COO,245,LBV,970,,0,AT7
DH,10128,DKR,1084,CKY,4162,,0,AT7
DH,10128,LBV,970,COO,245,,0,AT7
DH,10128,LBV,970,LOS,273,,0,AT7
DH,10128,LOS,273,BKO,1044,,0,AT7
DH,10128,LOS,273,SSG,891,,0,AT7
DH,10128,SSG,891,LBV,970,,0,AT7
DL,2009,ABE,4355,ATL,3682,,0,717
DL,2009,ABE,4355,DTW,3645,Y,0,CRJ
DL,2009,ABQ,4019,ATL,3682,,0,757 320
DL,2009,ABQ,4019,MSP,3858,,0,320
DL,2009,ABQ,4019,SLC,3536,Y,0,CR9 CR7
DL,2009,ABR,5714,MSP,3858,Y,0,CRJ
DL,2009,ABV,260,CDG,1382,Y,0,332
DL,2009,ABV,260,PHC,275,Y,0,332
DL,2009,ABY,5715,ATL,3682,Y,0,CRJ
DL,2009,ACC,248,JFK,3797,,0,76W
DL,2009,ACC,248,ROB,1063,,0,76W
DL,2009,AEX,3852,ATL,3682,Y,0,CR9 CRJ
DL,2009,AGS,3658,ATL,3682,,0,M88 717
DL,2009,ALB,3864,ATL,3682,,0,M88
DL,2009,ALB,3864,DTW,3645,Y,0,CRJ CR9
DL,2009,ALB,3864,MSP,3858,Y,0,CR9
DL,2009,AMS,580,ATL,3682,,0,333 76W
DL,2009,AMS,580,AUH,2179,Y,0,332
DL,2009,AMS,580,BOM,2997,,0,76W
DL,2009,AMS,580,BOS,3448,,0,333
DL,2009,AMS,580,DFW,3670,Y,0,332
DL,2009,AMS,580,DMM,2064,Y,0,332
DL,2009,AMS,580,DOH,11051,Y,0,332
DL,2009,AMS,580,DTW,3645,,0,777 333 76W 332
DL,2009,AMS,580,EWR,3494,,0,76W
DL,2009,AMS,580,HRE,1005,Y,0,332
DL,2009,AMS,580,IAD,3714,Y,0,333 332
DL,2009,AMS,580,IAH,3550,Y,0,74M
DL,2009,AMS,580,JFK,3797,,0,76W
DL,2009,AMS,580,JRO,1180,Y,0,332 330
DL,2009,AMS,580,KGL,1165,Y,0,332 330
DL,2009,AMS,580,KWI,2176,Y,0,332 330
DL,2009,AMS,580,LAX,3484,Y,0,74M 747
DL,2009,AMS,580,MSP,3858,,0,333 332 76W
DL,2009,AMS,580,ORD,3830,Y,0,74M
DL,2009,AMS,580,PDX,3720,,0,333
DL,2009,AMS,580,SEA,3577,,0,333
DL,2009,AMS,580,SFO,3469,Y,0,747
DL,2009,AMS,580,YUL,146,Y,0,M11
DL,2009,AMS,580,YVR,156,Y,0,333
